,word,sentid,sentpos,wlen,surp,entropy,entred
310,most,15,3,4,9.721863746643066,12.385480880737305,0.0
311,generous,15,4,8,18.396413803100582,11.319950103759766,1.065530776977539
312,<unk>,15,5,5,24.601173400878903,10.665437698364258,0.6545124053955078
313,and,15,6,3,4.4213643074035645,8.962265968322754,1.703171730041504
314,possessed,15,7,9,16.194299697875977,12.45704746246338,0.0
315,a,15,8,1,5.30224609375,10.935951232910156,1.5210962295532229
316,considerable,15,9,12,12.00341796875,12.34108066558838,0.0
317,fortune,15,10,7,13.586285591125488,11.648456573486328,0.6926240921020508
318,of,15,11,2,5.756326198577881,10.839519500732422,0.8089370727539062
319,her,15,12,3,7.89199161529541,10.28629207611084,0.553227424621582
320,<unk>,15,13,5,24.38817405700684,12.043964385986328,0.0
321,Their,16,0,5,12.86060905456543,13.10289478302002,0.0
322,<unk>,16,1,5,23.23224830627441,12.741646766662598,0.3612480163574219
323,Styles,16,2,6,18.34444999694824,9.954556465148926,2.787090301513672
324,<unk>,16,3,5,24.11920547485352,9.398173332214355,0.5563831329345703
325,had,16,4,3,8.62105941772461,9.191218376159668,0.2069549560546875
326,been,16,5,4,5.175407886505127,9.944150924682615,0.0
327,purchased,16,6,9,10.720799446105955,9.89128875732422,0.0528621673583984
328,by,16,7,2,4.852107524871826,8.326122283935547,1.565166473388672
329,<unk>,16,8,5,23.59539794921875,10.306708335876465,0.0
330,Cavendish,16,9,9,18.482635498046875,9.675209045410156,0.6314992904663086
331,early,16,10,5,12.67435073852539,9.997809410095217,0.0
332,in,16,11,2,6.299903869628906,12.0784273147583,0.0
333,their,16,12,5,7.656271934509277,10.29774570465088,1.780681610107422
334,married,16,13,7,15.945318222045898,12.150986671447754,0.0
335,<unk>,16,14,5,24.910606384277344,11.29305362701416,0.8579330444335938
336,He,17,0,2,7.745289802551269,13.10289478302002,0.0
337,had,17,1,3,4.728113651275635,7.687335014343262,5.415559768676758
338,been,17,2,4,5.190418243408203,9.92160987854004,0.0
339,completely,17,3,10,10.945789337158203,9.90118408203125,0.020425796508789
340,under,17,4,5,9.007645606994627,8.312725067138672,1.588459014892578
341,his,17,5,3,5.8300323486328125,9.541910171508787,0.0
342,<unk>,17,6,5,25.81424331665039,12.1534423828125,0.0
343,<unk>,17,7,5,26.354475021362305,7.562923431396484,4.590518951416016
344,so,17,8,2,11.97089958190918,7.743731498718262,0.0
345,much,17,9,4,10.666592597961426,8.93143081665039,0.0
346,so,17,10,2,10.596346855163574,10.82163906097412,0.0
347,<unk>,17,11,5,24.03194808959961,10.597182273864746,0.224456787109375
348,on,17,12,2,6.359899044036865,8.662110328674316,1.9350719451904297
349,<unk>,17,13,5,23.59833335876465,10.290258407592772,0.0
350,he,17,14,2,8.563254356384277,8.937663078308105,1.352595329284668
351,left,17,15,4,7.614379405975342,7.726460456848144,1.211202621459961
352,the,17,16,3,3.5772876739501958,10.82061767578125,0.0
353,place,17,17,5,10.816715240478516,13.124987602233888,0.0
354,to,17,18,2,4.969088554382324,6.688483715057373,6.436503887176514
355,her,17,19,3,7.705711364746094,9.981337547302246,0.0
356,for,17,20,3,8.006534576416016,12.031523704528809,0.0
357,her,17,21,3,7.119705677032471,9.611865043640137,2.419658660888672
358,<unk>,17,22,5,24.391939163208008,12.054813385009766,0.0
359,as,17,23,2,6.636677265167236,7.723976135253906,4.330837249755859
360,well,17,24,4,5.438686370849609,9.588804244995115,0.0
361,as,17,25,2,1.786587834358215,4.354469299316406,5.234334945678711
362,the,17,26,3,2.7149908542633057,9.56968593597412,0.0
363,larger,17,27,6,12.017448425292969,13.125070571899414,0.0
364,part,17,28,4,9.448760986328123,12.167912483215332,0.957158088684082
365,of,17,29,2,0.2028333246707916,1.0428096055984497,11.125102877616882
366,his,17,30,3,6.256462097167969,10.291747093200684,0.0
367,<unk>,17,31,5,25.819499969482425,12.16147232055664,0.0
368,an,17,32,2,12.53763198852539,8.128655433654785,4.032816886901856
